"ID_CS","ID_SOIREE","NBR_PLACE","TARIF","NBR_PLACE_DISPO","STATUT"
1,1,291,61.3084580691066,281,"Disponible"
2,2,231,36.6838041518349,221,"Disponible"
3,2,272,27.4344142409973,262,"Disponible"
4,3,462,52.227823366411,452,"Disponible"
5,4,149,42.0578902179841,139,"Disponible"
6,4,302,32.7000107325148,292,"Disponible"
7,5,195,61.0796748602297,185,"Disponible"
8,6,126,57.0319547725376,116,"Disponible"
9,6,250,31.4159832050791,240,"Disponible"
10,7,508,70.6336041679606,498,"Disponible"
11,8,359,91.795541997999,349,"Disponible"
12,8,435,16.4624934463063,425,"Disponible"
13,9,444,95.2002499368973,434,"Disponible"
14,10,271,95.5396671604831,261,"Disponible"
15,10,212,37.6157006947324,202,"Disponible"
16,11,439,82.3414604878053,429,"Disponible"
17,12,453,36.1515564436559,443,"Disponible"
18,12,230,14.555106050102,220,"Disponible"
19,13,469,71.636362397112,459,"Disponible"
20,14,239,55.8995581697673,229,"Disponible"
21,14,329,19.603806574014,319,"Disponible"
22,15,240,53.0651950859465,230,"Disponible"
23,16,448,99.290260655107,438,"Disponible"
24,16,131,18.3086592383916,121,"Disponible"
25,17,199,36.7980910523329,189,"Disponible"
26,18,122,78.0334541574121,112,"Disponible"
27,18,204,37.873994174879,194,"Disponible"
28,19,507,58.6928601085674,497,"Disponible"
29,20,298,90.1637446717359,288,"Disponible"
30,20,309,15.8209265297046,299,"Disponible"
31,21,203,38.5707154753618,193,"Disponible"
32,22,264,27.2643273812719,254,"Disponible"
33,22,208,28.1860830436926,198,"Disponible"
34,23,353,95.3088192269206,343,"Disponible"
35,24,377,31.1610841716174,367,"Disponible"
36,24,426,28.8530899095349,416,"Disponible"
37,25,212,56.3223446486518,202,"Disponible"
38,26,170,81.6581720544491,160,"Disponible"
39,26,339,44.4995078491047,329,"Disponible"
40,27,255,73.6044114513788,245,"Disponible"
41,28,269,33.8557823968586,259,"Disponible"
42,28,468,40.0187217252096,458,"Disponible"
43,29,220,58.4052091697231,210,"Disponible"
44,30,281,87.0452083880082,271,"Disponible"
45,30,297,49.3499792530201,287,"Disponible"
46,31,154,31.4910427143332,144,"Disponible"
47,32,311,70.0554583803751,301,"Disponible"
48,32,204,23.2967485266272,194,"Disponible"
49,33,418,80.0427812559064,408,"Disponible"
50,34,213,40.5773819831666,203,"Disponible"
51,34,172,36.8907463969663,162,"Disponible"
52,35,414,55.6212267372757,404,"Disponible"
53,36,246,45.548989175586,236,"Disponible"
