"ID_LOGEMENT","DATE_DEBUT","DATE_FIN"
9,"30/01/2020","01/02/2020"
10,"30/01/2020","01/02/2020"
11,"29/01/2020","31/01/2020"
12,"05/02/2020","07/02/2020"
13,"29/01/2020","31/01/2020"
14,"03/02/2020","05/02/2020"
15,"31/01/2020","02/02/2020"
16,"28/01/2020","30/01/2020"
24,"28/01/2020","30/01/2020"
25,"06/02/2020","08/02/2020"
40,"06/02/2020","08/02/2020"
47,"01/02/2020","03/02/2020"
48,"30/01/2020","01/02/2020"
49,"31/01/2020","02/02/2020"
50,"28/01/2020","30/01/2020"
51,"04/02/2020","06/02/2020"
52,"28/01/2020","30/01/2020"
53,"05/02/2020","07/02/2020"
54,"01/02/2020","03/02/2020"
55,"06/02/2020","08/02/2020"
56,"30/01/2020","01/02/2020"
57,"31/01/2020","02/02/2020"
58,"04/02/2020","06/02/2020"
59,"31/01/2020","02/02/2020"
60,"03/02/2020","05/02/2020"
61,"01/02/2020","03/02/2020"
62,"29/01/2020","31/01/2020"
63,"28/01/2020","30/01/2020"
81,"28/01/2020","30/01/2020"
82,"28/01/2020","30/01/2020"
83,"04/02/2020","06/02/2020"
84,"02/02/2020","04/02/2020"
85,"31/01/2020","02/02/2020"
86,"04/02/2020","06/02/2020"
87,"04/02/2020","06/02/2020"
90,"29/01/2020","31/01/2020"
91,"31/01/2020","02/02/2020"
121,"30/01/2020","01/02/2020"
122,"30/01/2020","01/02/2020"
123,"30/01/2020","01/02/2020"
124,"05/02/2020","07/02/2020"
125,"31/01/2020","02/02/2020"
131,"29/01/2020","31/01/2020"
132,"02/02/2020","04/02/2020"
133,"05/02/2020","07/02/2020"
134,"02/02/2020","04/02/2020"
135,"31/01/2020","02/02/2020"
136,"29/01/2020","31/01/2020"
137,"06/02/2020","08/02/2020"
138,"29/01/2020","31/01/2020"
146,"02/02/2020","04/02/2020"
147,"03/02/2020","05/02/2020"
149,"29/01/2020","31/01/2020"
158,"06/02/2020","08/02/2020"
174,"30/01/2020","01/02/2020"
175,"03/02/2020","05/02/2020"
176,"06/02/2020","08/02/2020"
177,"03/02/2020","05/02/2020"
178,"02/02/2020","04/02/2020"
186,"03/02/2020","05/02/2020"
187,"06/02/2020","08/02/2020"
198,"28/01/2020","30/01/2020"
199,"06/02/2020","08/02/2020"
200,"04/02/2020","06/02/2020"
201,"28/01/2020","30/01/2020"
202,"04/02/2020","06/02/2020"
203,"30/01/2020","01/02/2020"
205,"02/02/2020","04/02/2020"
206,"01/02/2020","03/02/2020"
230,"31/01/2020","02/02/2020"
231,"02/02/2020","04/02/2020"
232,"05/02/2020","07/02/2020"
233,"30/01/2020","01/02/2020"
234,"01/02/2020","03/02/2020"
235,"04/02/2020","06/02/2020"
238,"04/02/2020","06/02/2020"
239,"02/02/2020","04/02/2020"
255,"05/02/2020","07/02/2020"
256,"01/02/2020","03/02/2020"
257,"06/02/2020","08/02/2020"
258,"05/02/2020","07/02/2020"
268,"06/02/2020","08/02/2020"
277,"29/01/2020","31/01/2020"
280,"03/02/2020","05/02/2020"
290,"30/01/2020","01/02/2020"
291,"31/01/2020","02/02/2020"
293,"02/02/2020","04/02/2020"
294,"06/02/2020","08/02/2020"
295,"01/02/2020","03/02/2020"
296,"28/01/2020","30/01/2020"
297,"04/02/2020","06/02/2020"
298,"03/02/2020","05/02/2020"
299,"02/02/2020","04/02/2020"
300,"31/01/2020","02/02/2020"
311,"04/02/2020","06/02/2020"
312,"04/02/2020","06/02/2020"
321,"28/01/2020","30/01/2020"
323,"05/02/2020","07/02/2020"
325,"02/02/2020","04/02/2020"
326,"30/01/2020","01/02/2020"
327,"04/02/2020","06/02/2020"
328,"01/02/2020","03/02/2020"
329,"30/01/2020","01/02/2020"
357,"28/01/2020","30/01/2020"
358,"01/02/2020","03/02/2020"
359,"28/01/2020","30/01/2020"
360,"28/01/2020","30/01/2020"
361,"30/01/2020","01/02/2020"
362,"02/02/2020","04/02/2020"
