"ID_PHOTO","ID_HEBERGEMENT","CHEMIN","COMMENTAIRE","STATUT"
1,1,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=RÉSIDENCE DES THERMES","","Actif"
2,2,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=RÉSIDENCE LES SANGUINAIRES","","Actif"
3,3,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=RÉSIDENCE EDEN","","Actif"
4,4,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=DOMAINE DE BASSILOUR","","Actif"
5,5,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL DE LA POSTE","","Actif"
6,6,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LE NORMANDIE","","Actif"
7,7,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LIGURE","","Actif"
8,8,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL DU FORUM","","Actif"
9,9,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING DE LA BAIE","","Actif"
10,10,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LA MOUSQUÈRE","","Actif"
11,11,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=LE PARADIS DE BAZAS","","Actif"
12,12,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LES CHÊNES VERTS","","Actif"
13,13,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CARAVANING L'OREE DU BOIS","","Actif"
14,14,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING KÉVANO PLAGE","","Actif"
15,15,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LA SOURCE","","Actif"
16,16,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING MUNICIPAL LA MEUSE","","Actif"
17,17,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL DU CAP","","Actif"
18,18,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL CHAMPS ÉLYSÉE FRIEDLAND","","Actif"
19,19,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=BEST WESTERN THE HOTEL VERSAILLES","","Actif"
20,20,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL COULIER","","Actif"
21,21,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=INTER-HÔTEL LES RÉSIDENCES D'ARMOR","","Actif"
22,22,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LA FRÉGATE","","Actif"
23,23,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL SULLY","","Actif"
24,24,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING DU COL","","Actif"
25,25,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING U PEZZO","","Actif"
26,26,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL AUSTRIA","","Actif"
27,27,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL B&B CHAMBÉRY CENTRE","","Actif"
28,28,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=LES CHÂTAIGNIERS DU LAC","","Actif"
29,29,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=RÉSIDENCE PIERRE & VACANCES LE MOULIN DES CORDELIERS","","Actif"
30,30,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=RÉSIDENCE LES HAUTS DE PRÉCLAUX","","Actif"
31,31,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=LA TABLE DE GUSTAVE","","Actif"
32,32,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL PAVILLON OPÉRA LAFAYETTE","","Actif"
33,33,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL PUNTA LARA","","Actif"
34,34,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=LOU CALEU","","Actif"
35,35,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LE SCANDOLA","","Actif"
36,36,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTELLERIE NOTRE DAME DE LUMIÈRES","","Actif"
37,37,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LES 2 LACS","","Actif"
38,38,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL IBIS BUDGET MANOSQUE CADARACHE","","Actif"
39,39,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LES PARCS","","Actif"
40,40,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING MUNICIPAL ROQUEFIGUIER","","Actif"
41,41,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL BEAU RIVAGE","","Actif"
42,42,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CHEZ PLANES","","Actif"
43,43,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LA FERME DE FLARAN","","Actif"
44,44,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CHÂTEAU SAINT-MARTIN & SPA","","Actif"
45,45,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CENTROTEL","","Actif"
46,46,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL LA MAISON OPPOCA","","Actif"
47,47,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LE VIEUX MOULIN","","Actif"
48,48,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LE MAS","","Actif"
49,49,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=LA PAILLE HAUTE","","Actif"
50,50,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LE TEDEY","","Actif"
51,51,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LES NÉNUPHARS","","Actif"
52,52,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LA PORTE DES CIMES","","Actif"
53,53,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING ESTEREL CARAVANING","","Actif"
54,54,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LA LAGUNE","","Actif"
55,55,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING DE L'ÎLE MADAME","","Actif"
56,56,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING MUNICIPAL DE KERVIAN","","Actif"
57,57,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING LES DUNES","","Actif"
58,58,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING PORT MAUBERT","","Actif"
59,59,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING GCU SAINT-RÉMY-DE-PROVENCE","","Actif"
60,60,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=DOMAINE LES DAUPHINS BLEUS","","Actif"
61,61,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING MUNICIPAL LA RIVIÈRE","","Actif"
62,62,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING ÉMERAUDE","","Actif"
63,63,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=CAMPING DES FORGES","","Actif"
64,64,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL CORNICHE DU LIOUQUET","","Actif"
65,65,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL DU PONT","","Actif"
66,66,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=LE CAPRICORNE","","Actif"
67,67,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=GRAND HYATT CANNES HÔTEL MARTINEZ","","Actif"
68,68,"https://via.placeholder.com/600x600.png/ce0f3d/FFFFFF/?text=HÔTEL RESTAURANT LE SÈSTRIÈRE","","Actif"
