"ID_HEBERGEMENT","LATITUDE","LONGITUDE","ID_USER","TYPE","NOMBRE_ETOILE","NOM","ADRESSE","EMAIL","SITE_WEB","TELEPHONE","NOTE_GLOBAL","DATE_CREATION","STATUT"
1,46.779982,0.809538,2,"RÉSIDENCE DE TOURISME",2,"RÉSIDENCE DES THERMES","55 avenue des Fontaines","contact@la-roche-posay.info","www.resorthotel-larocheposay.fr","549194900",99,"28/09/2012","Actif"
2,41.908989,8.650057,2,"RÉSIDENCE DE TOURISME",4,"RÉSIDENCE LES SANGUINAIRES","ROUTE DES SANGUINAIRES BP 818","res-sanguinaires@wanadoo.fr","http://www.residence-les-sanguinaires.com","495239460",36,"05/09/2017","Actif"
3,46.065765,6.671562,2,"RÉSIDENCE DE TOURISME",1,"RÉSIDENCE EDEN","Plateau des Esserts","renaud.danselme@gmail.com","http://morillon-location.fr","663462948",7,"28/12/2012","Actif"
4,43.438993,-1.570946,2,"HÔTEL",3,"DOMAINE DE BASSILOUR","rue Burruntz","bassilour@wanadoo.fr","www.domainedebassilour.com","559419085",7,"15/01/2013","Actif"
5,47.232501,3.82296,2,"HÔTEL",2,"HÔTEL DE LA POSTE","LE BOURG","hotel-poste@wanadoo.fr","http://www.hotelvauclaix.com/","03.86.22.71.38",75,"24/02/2015","Actif"
6,49.524572,0.724833,2,"HÔTEL",2,"HÔTEL LE NORMANDIE","19 quai guilbaud","info@le-normandie.fr","http://www.le-normandie.fr","235962511",4,"27/11/2012","Actif"
7,43.553444,7.01831,2,"HÔTEL",3,"HÔTEL LIGURE","3 Place de la gare","hotel-ligure@wanadoo.fr","http://www.hotel-ligure.com/fr/","493390311",14,"18/04/2017","Actif"
8,43.677464,4.626792,2,"HÔTEL",3,"HÔTEL DU FORUM","10 place du forum","resa@hotelduforum.com","www.hotelduforum.com","490934895",69,"16/05/2017","Actif"
9,43.170736,6.529031,2,"CAMPING",4,"CAMPING DE LA BAIE","boulevard pasteur","contact@camping-baie.com","http://www.camping-baie.com","494640815",75,"22/06/2017","Actif"
10,42.821014,0.320591,2,"CAMPING",3,"CAMPING LA MOUSQUÈRE","Route de Saint Lary Soulan","contact@campinglamousquere.com","www.campinglamousquere.com","562394499",94,"31/07/2017","Actif"
11,44.43113,-0.19953,2,"CAMPING",4,"LE PARADIS DE BAZAS","Route de Casteljaloux","paradis@franceloc.fr","http://www.franceloc.fr/camping-france-aquitaine-paradis_de_bazas-FR.html","556651317",86,"07/01/2013","Actif"
12,45.565119,-0.957133,2,"CAMPING",3,"CAMPING LES CHÊNES VERTS","15 Boulevard Du Marais","campingleschenesverts17@gmail.com","http://www.camping-leschenesverts.com","546025800",92,"09/07/2017","Actif"
13,50.417841,1.614957,2,"CAMPING",4,"CARAVANING L'OREE DU BOIS","chemin blanc","oree.du.bois@wanadoo.fr","http://loreedubois.com","321842851",78,"14/11/2016","Actif"
14,41.470098,9.041463,2,"CAMPING",3,"CAMPING KÉVANO PLAGE","Lieu-Dit Pentaniella","campingkevano@gmail.com","http://www.campingkevano.com","495718322",70,"09/06/2017","Actif"
15,44.378496,4.211894,2,"CAMPING",3,"CAMPING LA SOURCE","chemin de la rouvière","contact@camping-source-ardeche.com","http://www.camping-source-ardeche.com","475393913",71,"23/06/2017","Actif"
16,43.659571,3.558923,2,"CAMPING",3,"CAMPING MUNICIPAL LA MEUSE","chemin de la meuse","camping.meuse@ville-gignac.com","http://www.campinglameuse.com","467579297",16,"26/06/2017","Actif"
17,43.649001,-1.43591,2,"HÔTEL",2,"HÔTEL DU CAP","29 avenue Georges Pompidou","hotelducap.capbreton@orange.fr","http://www.hotel-ducap-capbreton.com","558721347",28,"31/07/2014","Actif"
18,48.87511,2.304877,2,"HÔTEL",4,"HÔTEL CHAMPS ÉLYSÉE FRIEDLAND","177 rue du Faubourg Saint Honoré","reception@friedland.com","http://www.hotel-paris-friedland.com","145636465",99,"28/10/2015","Actif"
19,48.766571,2.117181,2,"HÔTEL",3,"BEST WESTERN THE HOTEL VERSAILLES","Avenue Morane Saulnier","direction@thehotel-versailles.fr","http://www.thehotel-versailles.fr/","139564811",32,"10/09/2016","Actif"
20,45.018142,1.360252,2,"HÔTEL",3,"HÔTEL COULIER","Laval de Jayac","contact@hotelcoulier.com","http://www.hotelcoulier.com/","553288646",32,"14/09/2017","Actif"
21,48.101345,-4.352548,2,"HÔTEL",3,"INTER-HÔTEL LES RÉSIDENCES D'ARMOR","36 rue des sables blancs","reservation@residencesdarmor.com","www.residencesdarmor.com","02.98.74.00.35",12,"29/12/2014","Actif"
22,42.526469,3.083656,2,"HÔTEL",3,"HÔTEL LA FRÉGATE","24 Boulevard Camille Pelletan","contact@fregate-collioure.com","www.fregate-collioure.com","04.68.82.06.05",64,"22/08/2017","Actif"
23,48.324366,0.820385,2,"HÔTEL",3,"HÔTEL SULLY","51 rue des Viennes","hotel.sully@wanadoo.fr","hotelsullynogent.fr","02.37.52.15.14",28,"24/07/2013","Actif"
24,45.24639,6.30231,2,"CAMPING",3,"CAMPING DU COL","Le col","campingducol@free.fr","http://camping-caravaneige.fr","479830080",48,"29/08/2017","Actif"
25,42.673862,9.295727,2,"CAMPING",2,"CAMPING U PEZZO","Route de la Roya","contact@upezzo.com","www.upezzo.com","495370165",100,"21/08/2017","Actif"
26,45.466937,4.377806,2,"HÔTEL",3,"HÔTEL AUSTRIA","21 place Massenet","contact@hotel-austria.fr","http://www.hotel-austria.fr","477934777",76,"13/07/2016","Actif"
27,45.576964,5.920217,2,"HÔTEL",2,"HÔTEL B&B CHAMBÉRY CENTRE","204 RUE DU DOCTEUR VERNIER","bb_4220@hotelbb.com","www.hotelbb.com","892788028",72,"02/10/2014","Actif"
28,44.462544,3.927349,2,"VILLAGE DE VACANCES",3,"LES CHÂTAIGNIERS DU LAC","Le Lac","leschataigniersdulac@orange.fr","http://gites-villefort.com/","466656000",72,"06/11/2013","Actif"
29,47.12842,0.999627,2,"RÉSIDENCE DE TOURISME",3,"RÉSIDENCE PIERRE & VACANCES LE MOULIN DES CORDELIERS","LE MOULIN DES CORDELIERS 1 RUE DES PONTS","reception.loches@groupepvcp.com","https://www.pierreetvacances.com/fr-fr/fp_LOL_location-residence-le-moulin-des-cordeliers","247914650",94,"29/03/2017","Actif"
30,44.493005,6.580911,2,"RÉSIDENCE DE TOURISME",3,"RÉSIDENCE LES HAUTS DE PRÉCLAUX","le bois méan 1800","reservation@les-orres-vacances.com","www.les-orres-vacances.com","04 92 57 75 84",92,"23/10/2012","Actif"
31,47.103479,6.151329,2,"HÔTEL",3,"LA TABLE DE GUSTAVE","11 rue Jacques Gervais","reservation@latabledegustave.fr","www.latabledegustave.fr","381621679",4,"02/10/2014","Actif"
32,48.879122,2.343448,2,"HÔTEL",3,"HÔTEL PAVILLON OPÉRA LAFAYETTE","23 rue de la tour d'Auvergne","pavillon.opera@wanadoo.fr","http://parishotelpavillonopera.com/","01 48 78 73 98",93,"05/11/2015","Actif"
33,46.967017,-2.262675,2,"HÔTEL",4,"HÔTEL PUNTA LARA","4 rue de la Noure","contact@hotelpuntalara.com","www.hotelpuntalara.com","251391158",90,"14/10/2013","Actif"
34,43.856529,5.476635,2,"HÔTEL",2,"LOU CALEU","Route Départementale 900 Magdeleine","loucaleu@orange.fr","loucaleu.com","490752888",66,"04/02/2015","Actif"
35,42.237801,8.636442,2,"HÔTEL",3,"HÔTEL LE SCANDOLA","Route de Cargèse","infos@hotelscandola.com","www.hotelscandola.com","495278007",84,"22/08/2017","Actif"
36,43.859598,5.233111,2,"HÔTEL",3,"HÔTELLERIE NOTRE DAME DE LUMIÈRES","Lieu-Dit Lumières","hotellerie@notredamedelumieres.com","http://notredamedelumieres.com","490722218",57,"04/02/2015","Actif"
37,46.575335,5.749625,2,"HÔTEL",3,"HÔTEL LES 2 LACS","9 rue Traversière","contact@hotel-2lacs.com","http://www.hotel-clairvaux.com/fr/index.php","384258076",90,"17/04/2015","Actif"
38,43.808739,5.812426,2,"HÔTEL",2,"HÔTEL IBIS BUDGET MANOSQUE CADARACHE","PéAGE A51, les grandes terres","h5611-gm@accor.com","www.ibisbudgethotel.com","892700142",56,"16/12/2013","Actif"
39,46.43239,-1.635381,2,"HÔTEL",3,"HÔTEL LES PARCS","226 rue des Parcs","contact@les-parcs.com","http://www.les-parcs.com","251906164",70,"28/07/2017","Actif"
40,44.122587,5.034457,2,"CAMPING",2,"CAMPING MUNICIPAL ROQUEFIGUIER","120 CHEMIN DES MOULINS","camping@beaumes-de-venise.fr","-","04.90.62.95.07",76,"12/05/2012","Actif"
41,48.602064,-1.76927,2,"HÔTEL",3,"HÔTEL BEAU RIVAGE","21 RUE DE LA MAIRIE","info@logis-beaurivage.com","http://www.logis-beaurivage.com","299489065",91,"13/07/2016","Actif"
