"ID_SOIREE","ID_FESTIVAL","DATE_SOIREE","STATUT"
1,1,"29-11-2020","Disponible"
2,1,"30-11-2020","Disponible"
3,2,"06-12-2020","Disponible"
4,2,"07-12-2020","Disponible"
5,3,"16-03-2020","Disponible"
6,3,"17-03-2020","Disponible"
7,3,"18-03-2020","Disponible"
8,3,"19-03-2020","Disponible"
9,3,"20-03-2020","Disponible"
10,3,"21-03-2020","Disponible"
11,3,"22-03-2020","Disponible"
12,4,"15-03-2020","Disponible"
13,4,"16-03-2020","Disponible"
14,4,"17-03-2020","Disponible"
15,4,"18-03-2020","Disponible"
16,4,"19-03-2020","Disponible"
17,4,"20-03-2020","Disponible"
18,4,"21-03-2020","Disponible"
19,4,"22-03-2020","Disponible"
20,4,"23-03-2020","Disponible"
21,4,"24-03-2020","Disponible"
22,4,"25-03-2020","Disponible"
23,4,"26-03-2020","Disponible"
24,4,"27-03-2020","Disponible"
25,4,"28-03-2020","Disponible"
26,4,"29-03-2020","Disponible"
27,5,"07-03-2020","Disponible"
28,5,"08-03-2020","Disponible"
29,6,"07-03-2020","Disponible"
30,6,"08-03-2020","Disponible"
31,6,"09-03-2020","Disponible"
32,6,"10-03-2020","Disponible"
33,6,"11-03-2020","Disponible"
34,6,"12-03-2020","Disponible"
35,6,"13-03-2020","Disponible"
36,6,"14-03-2020","Disponible"
37,6,"15-03-2020","Disponible"
38,6,"16-03-2020","Disponible"
39,7,"02-04-2020","Disponible"
40,7,"03-04-2020","Disponible"
41,7,"04-04-2020","Disponible"
42,7,"05-04-2020","Disponible"
43,7,"06-04-2020","Disponible"
44,7,"07-04-2020","Disponible"
45,7,"08-04-2020","Disponible"
46,7,"09-04-2020","Disponible"
47,7,"10-04-2020","Disponible"
48,7,"11-04-2020","Disponible"
49,7,"12-04-2020","Disponible"
50,8,"09-03-2020","Disponible"
51,8,"10-03-2020","Disponible"
52,8,"11-03-2020","Disponible"
53,8,"12-03-2020","Disponible"
54,8,"13-03-2020","Disponible"
55,8,"14-03-2020","Disponible"
56,8,"15-03-2020","Disponible"
57,9,"08-03-2020","Disponible"
58,9,"09-03-2020","Disponible"
59,9,"10-03-2020","Disponible"
60,9,"11-03-2020","Disponible"
61,9,"12-03-2020","Disponible"
62,9,"13-03-2020","Disponible"
